cv_row_index,industry_group_slug,industry_branch_slug
100,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
101,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
102,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
103,marketing-truyen-thong,marketing-bien-phien-dich
104,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
105,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
106,marketing-truyen-thong,marketing-tong-hop
107,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
108,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
109,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
110,xay-dung,xay-dung-ky-su
111,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
112,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
113,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
114,,
115,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
116,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
117,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
118,co-khi-che-tao,co-khi-che-tao-co-khi
119,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
120,,
121,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
122,,
123,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
124,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
125,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
126,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
127,,
128,van-tai-logistics,van-tai-logistics-kho-van
129,san-xuat-qa-qc,san-xuat-det-may
130,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
131,,
132,marketing-truyen-thong,marketing-tong-hop
133,,
134,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
135,,
136,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
137,giao-duc-dao-tao,giao-duc-giang-day
138,dien-dien-tu-vien-thong,dien-dien-tu-vien-thong-vt
139,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
140,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
141,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
142,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
143,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
144,van-tai-logistics,van-tai-giao-nhan
145,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
146,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
147,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
148,nhan-su-hanh-chinh,nhan-su-thu-ky-tro-ly
149,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
150,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
151,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
152,,
153,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
154,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
155,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
156,,
157,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
158,,
159,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
160,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
161,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
162,san-xuat-qa-qc,san-xuat-thuc-pham
163,van-tai-logistics,van-tai-giao-nhan
164,co-khi-che-tao,co-khi-che-tao-co-khi
165,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
166,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
167,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
168,,
169,y-te-duoc,y-te-duoc-y-te
170,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
171,van-tai-logistics,van-tai-giao-nhan
172,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
173,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
174,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
175,cntt,cntt-phan-cung-mang
176,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
177,dich-vu-khach-hang,dich-vu-khach-hang-cskh
178,dich-vu-khach-hang,dich-vu-khach-hang-cskh
179,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
180,,
181,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
182,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
183,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
184,san-xuat-qa-qc,san-xuat-det-may
185,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
186,marketing-truyen-thong,marketing-bien-phien-dich
187,marketing-truyen-thong,marketing-to-chuc-su-kien
188,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
189,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
190,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
191,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
192,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
193,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
194,,
195,khach-san-nha-hang-du-lich,khach-san-khach-san
196,khach-san-nha-hang-du-lich,khach-san-khach-san
197,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
198,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
199,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
200,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
201,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
202,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
203,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
204,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
205,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
206,,
207,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
208,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
209,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
210,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
211,,
212,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
213,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
214,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
215,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
216,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
217,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
218,,
219,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
220,dich-vu-khach-hang,dich-vu-khach-hang-cskh
221,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
222,nhan-su-hanh-chinh,nhan-su-phap-ly-phap-che
223,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
224,khach-san-nha-hang-du-lich,khach-san-du-lich-le-hanh
225,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
226,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
227,,
228,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
229,giao-duc-dao-tao,giao-duc-giang-day
230,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
231,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
232,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
233,y-te-duoc,y-te-duoc-y-te
234,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
235,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
236,cntt,cntt-phat-trien-phan-mem
237,,
238,,
239,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
240,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
241,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
242,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
243,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
244,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
245,marketing-truyen-thong,marketing-bien-phien-dich
246,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
247,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
248,marketing-truyen-thong,marketing-tong-hop
249,y-te-duoc,y-te-duoc-y-te
250,y-te-duoc,y-te-duoc-y-te
251,,
252,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
253,san-xuat-qa-qc,san-xuat-quan-ly
254,,
255,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
256,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
257,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
258,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
259,,
260,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
261,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
262,khach-san-nha-hang-du-lich,khach-san-khach-san
263,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
264,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
265,y-te-duoc,y-te-duoc-y-te
266,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
267,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
268,,
269,san-xuat-qa-qc,san-xuat-det-may
270,,
271,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
272,van-tai-logistics,van-tai-giao-nhan
273,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
274,co-khi-che-tao,co-khi-che-tao-co-khi
275,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
276,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
277,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
278,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
279,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
280,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
281,,
282,,
283,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
284,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
285,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
286,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
287,co-khi-che-tao,co-khi-che-tao-co-khi
288,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
289,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
290,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
291,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
292,dich-vu-khach-hang,dich-vu-khach-hang-cskh
293,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
294,,
295,san-xuat-qa-qc,san-xuat-thuc-pham
296,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
297,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
298,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
299,,
300,,
301,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
302,van-tai-logistics,van-tai-giao-nhan
303,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
304,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
305,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
306,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
307,,
308,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
309,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
310,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
311,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
312,cntt,cntt-phat-trien-phan-mem
313,lao-dong-pho-thong,lao-dong-pho-thong-bao-ve
314,,
315,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
316,,
317,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
318,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
319,san-xuat-qa-qc,san-xuat-quan-ly
320,,
321,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
322,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
323,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
324,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
325,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
326,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
327,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
328,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
329,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
330,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
331,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
332,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
333,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
334,,
335,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
336,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
337,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
338,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
339,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
340,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
341,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
342,cntt,cntt-phat-trien-phan-mem
343,marketing-truyen-thong,marketing-tong-hop
344,,
345,,
346,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
347,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
348,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
349,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
350,khach-san-nha-hang-du-lich,khach-san-spa-lam-dep
351,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
352,xay-dung,xay-dung-ky-su
353,khach-san-nha-hang-du-lich,khach-san-khach-san
354,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
355,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
356,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
357,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
358,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
359,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
360,,
361,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
362,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
363,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
364,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
365,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
366,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
367,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
368,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
369,giao-duc-dao-tao,giao-duc-giang-day
370,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
371,,
372,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
373,van-tai-logistics,van-tai-giao-nhan
374,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
375,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
376,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
377,y-te-duoc,y-te-duoc-y-te
378,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
379,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
380,,
381,xay-dung,xay-dung-ky-su
382,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
383,,
384,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
385,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
386,dich-vu-khach-hang,dich-vu-khach-hang-cskh
387,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
388,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
389,,
390,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
391,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
392,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
393,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
394,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
395,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
396,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
397,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
398,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
399,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
400,xay-dung,xay-dung-ky-su
401,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
402,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
403,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
404,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
405,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
406,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
407,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
408,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
409,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
410,,
411,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
412,,
413,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
414,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
415,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
416,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
417,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
418,van-tai-logistics,van-tai-giao-nhan
419,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
420,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
421,van-tai-logistics,van-tai-giao-nhan
422,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
423,van-tai-logistics,van-tai-giao-nhan
424,,
425,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
426,nhan-su-hanh-chinh,nhan-su-phap-ly-phap-che
427,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
428,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
429,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
430,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
431,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
432,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
433,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
434,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
435,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
436,van-tai-logistics,van-tai-giao-nhan
437,cntt,cntt-phat-trien-phan-mem
438,cntt,cntt-phan-cung-mang
439,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
440,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
441,van-tai-logistics,van-tai-giao-nhan
442,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
443,xay-dung,xay-dung-ky-su
444,,
445,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
446,,
447,dich-vu-khach-hang,dich-vu-khach-hang-cskh
448,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
449,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
450,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
451,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
452,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
453,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
454,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
455,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
456,,
457,y-te-duoc,y-te-duoc-y-te
458,,
459,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
460,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
461,,
462,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
463,khach-san-nha-hang-du-lich,khach-san-nha-hang-fb
464,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
465,ke-toan-tai-chinh,ke-toan-tai-chinh-tai-chinh
466,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
467,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
468,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
469,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
470,van-tai-logistics,van-tai-giao-nhan
471,,
472,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
473,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
474,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
475,giao-duc-dao-tao,giao-duc-giang-day
476,van-tai-logistics,van-tai-giao-nhan
477,giao-duc-dao-tao,giao-duc-giang-day
478,y-te-duoc,y-te-duoc-y-te
479,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
480,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
481,,
482,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
483,,
484,,
485,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
486,xay-dung,xay-dung-ky-su
487,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
488,,
489,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
490,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
491,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
492,,
493,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
494,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
495,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
496,,
497,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
498,,
499,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
500,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
501,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
502,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
503,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
504,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
505,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
506,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
507,,
