jd_row_index,industry_group_slug,industry_branch_slug
63,san-xuat-qa-qc,san-xuat-det-may
64,marketing-truyen-thong,marketing-truyen-thong-pr
65,ke-toan-tai-chinh,ke-toan-tai-chinh-chung-khoan
66,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
67,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
68,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
69,cntt,cntt-phat-trien-phan-mem
70,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
71,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
72,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
73,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
74,van-tai-logistics,van-tai-xuat-nhap-khau
75,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
76,cntt,cntt-phat-trien-phan-mem
77,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
78,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
79,giao-duc-dao-tao,giao-duc-giang-day
80,thiet-ke-kien-truc,thiet-ke-do-hoa
81,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
82,san-xuat-qa-qc,san-xuat-quan-ly
83,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
84,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
85,khach-san-nha-hang-du-lich,khach-san-spa-lam-dep
86,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
87,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
88,,
89,marketing-truyen-thong,marketing-truyen-thong-pr
90,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
91,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
92,cntt,cntt-phat-trien-phan-mem
93,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
94,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
95,san-xuat-qa-qc,san-xuat-det-may
96,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
97,,
98,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
99,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
100,khach-san-nha-hang-du-lich,khach-san-khach-san
101,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
102,,
103,giao-duc-dao-tao,giao-duc-giang-day
104,marketing-truyen-thong,marketing-bien-phien-dich
105,cntt,cntt-phan-cung-mang
106,,
107,,
108,marketing-truyen-thong,marketing-truyen-thong-pr
109,bat-dong-san,bat-dong-san-moi-gioi
110,marketing-truyen-thong,marketing-truyen-thong-pr
111,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
112,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
113,marketing-truyen-thong,marketing-truyen-thong-pr
114,,
115,marketing-truyen-thong,marketing-truyen-thong-pr
116,khach-san-nha-hang-du-lich,khach-san-khach-san
117,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
118,marketing-truyen-thong,marketing-truyen-thong-pr
119,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
120,marketing-truyen-thong,marketing-truyen-thong-pr
121,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
122,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
123,van-tai-logistics,van-tai-xuat-nhap-khau
124,giao-duc-dao-tao,giao-duc-giang-day
125,khach-san-nha-hang-du-lich,khach-san-khach-san
126,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
127,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
128,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
129,,
130,marketing-truyen-thong,marketing-truyen-thong-pr
131,cntt,cntt-phat-trien-phan-mem
132,giao-duc-dao-tao,giao-duc-giang-day
133,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
134,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
135,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
136,dien-dien-tu-vien-thong,dien-dien-tu-vien-thong-vt
137,dich-vu-khach-hang,dich-vu-khach-hang-cskh
138,khach-san-nha-hang-du-lich,khach-san-khach-san
139,van-tai-logistics,van-tai-logistics-kho-van
140,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
141,thiet-ke-kien-truc,thiet-ke-kien-truc-kien-truc
142,cntt,cntt-phat-trien-phan-mem
143,marketing-truyen-thong,marketing-truyen-thong-pr
144,dich-vu-khach-hang,dich-vu-khach-hang-cskh
145,cntt,cntt-phat-trien-phan-mem
146,,
147,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
148,,
149,thiet-ke-kien-truc,thiet-ke-do-hoa
150,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
151,marketing-truyen-thong,marketing-truyen-thong-pr
152,co-khi-che-tao,co-khi-o-to
153,cntt,cntt-phat-trien-phan-mem
154,giao-duc-dao-tao,giao-duc-giang-day
155,,
156,cntt,cntt-phat-trien-phan-mem
157,cntt,cntt-phat-trien-phan-mem
158,marketing-truyen-thong,marketing-truyen-thong-pr
159,nhan-su-hanh-chinh,nhan-su-thu-ky-tro-ly
160,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
161,dich-vu-khach-hang,dich-vu-khach-hang-cskh
162,cntt,cntt-phat-trien-phan-mem
163,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
164,giao-duc-dao-tao,giao-duc-giang-day
165,xay-dung,xay-dung-ky-su
166,nhan-su-hanh-chinh,nhan-su-phap-ly-phap-che
167,y-te-duoc,y-te-duoc-y-te
168,marketing-truyen-thong,marketing-truyen-thong-pr
169,cntt,cntt-phat-trien-phan-mem
170,giao-duc-dao-tao,giao-duc-giang-day
171,cntt,cntt-phat-trien-phan-mem
172,y-te-duoc,y-te-duoc-y-te
173,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
174,giao-duc-dao-tao,giao-duc-giang-day
175,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
176,giao-duc-dao-tao,giao-duc-giang-day
177,giao-duc-dao-tao,giao-duc-giang-day
178,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
179,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
180,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
181,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
182,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
183,,
184,khach-san-nha-hang-du-lich,khach-san-du-lich-le-hanh
185,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
186,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
187,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
188,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
189,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
190,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
191,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
192,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
193,cntt,cntt-phat-trien-phan-mem
194,thiet-ke-kien-truc,thiet-ke-do-hoa
195,marketing-truyen-thong,marketing-bien-phien-dich
196,,
197,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
198,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
199,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
200,cntt,cntt-phat-trien-phan-mem
201,giao-duc-dao-tao,giao-duc-giang-day
202,cntt,cntt-phat-trien-phan-mem
203,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
204,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
205,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
206,marketing-truyen-thong,marketing-truyen-thong-pr
207,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
208,,
209,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
210,,
211,cntt,cntt-phat-trien-phan-mem
212,cntt,cntt-phat-trien-phan-mem
213,thiet-ke-kien-truc,thiet-ke-kien-truc-kien-truc
214,,
215,,
216,khach-san-nha-hang-du-lich,khach-san-du-lich-le-hanh
217,,
218,giao-duc-dao-tao,giao-duc-giang-day
219,,
220,khach-san-nha-hang-du-lich,khach-san-khach-san
221,san-xuat-qa-qc,san-xuat-quan-ly
222,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
223,,
224,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
225,cntt,cntt-phat-trien-phan-mem
226,san-xuat-qa-qc,san-xuat-quan-ly
227,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
228,,
229,marketing-truyen-thong,marketing-truyen-thong-pr
230,cntt,cntt-phat-trien-phan-mem
231,,
232,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
233,marketing-truyen-thong,marketing-truyen-thong-pr
234,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
235,dich-vu-khach-hang,dich-vu-khach-hang-cskh
236,,
237,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
238,y-te-duoc,y-te-duoc-y-te
239,cntt,cntt-phat-trien-phan-mem
240,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
241,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
242,giao-duc-dao-tao,giao-duc-giang-day
243,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
244,nhan-su-hanh-chinh,nhan-su-thu-ky-tro-ly
245,thiet-ke-kien-truc,thiet-ke-noi-that
246,san-xuat-qa-qc,san-xuat-quan-ly
247,van-tai-logistics,van-tai-xuat-nhap-khau
248,cntt,cntt-phat-trien-phan-mem
249,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
250,marketing-truyen-thong,marketing-truyen-thong-pr
251,,
252,san-xuat-qa-qc,san-xuat-my-pham
253,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
254,bat-dong-san,bat-dong-san-moi-gioi
255,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
256,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
257,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
258,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
259,,
260,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
261,marketing-truyen-thong,marketing-truyen-thong-pr
262,y-te-duoc,y-te-duoc-y-te
263,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
264,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
265,san-xuat-qa-qc,san-xuat-det-may
266,dien-dien-tu-vien-thong,dien-dien-tu-vien-thong-vt
267,dien-dien-tu-vien-thong,dien-dien-tu-dien-lanh
268,,
269,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
270,marketing-truyen-thong,marketing-truyen-thong-pr
271,cntt,cntt-phat-trien-phan-mem
272,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
273,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
274,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
275,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
276,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
277,,
278,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
279,dien-dien-tu-vien-thong,dien-dien-tu-dien-lanh
280,giao-duc-dao-tao,giao-duc-giang-day
281,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
282,,
283,thiet-ke-kien-truc,thiet-ke-noi-that
284,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
285,dien-dien-tu-vien-thong,dien-dien-tu-vien-thong-vt
286,,
287,y-te-duoc,y-te-duoc-y-te
288,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
289,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
290,khach-san-nha-hang-du-lich,khach-san-du-lich-le-hanh
291,khach-san-nha-hang-du-lich,khach-san-khach-san
292,marketing-truyen-thong,marketing-truyen-thong-pr
293,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
294,marketing-truyen-thong,marketing-bien-phien-dich
295,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
296,,
297,,
298,san-xuat-qa-qc,san-xuat-quan-ly
299,nhan-su-hanh-chinh,nhan-su-phap-ly-phap-che
300,cntt,cntt-phat-trien-phan-mem
301,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
302,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
303,cntt,cntt-phat-trien-phan-mem
304,cntt,cntt-phat-trien-phan-mem
305,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
306,co-khi-che-tao,co-khi-tu-dong-hoa
307,cntt,cntt-phat-trien-phan-mem
308,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
309,xay-dung,xay-dung-ky-su
310,thiet-ke-kien-truc,thiet-ke-kien-truc-kien-truc
311,marketing-truyen-thong,marketing-truyen-thong-pr
312,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
313,bat-dong-san,bat-dong-san-moi-gioi
314,dien-dien-tu-vien-thong,dien-dien-tu-dien-lanh
315,dich-vu-khach-hang,dich-vu-khach-hang-cskh
316,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
317,,
318,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
319,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
320,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
321,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
322,giao-duc-dao-tao,giao-duc-giang-day
323,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
324,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
325,,
326,bat-dong-san,bat-dong-san-moi-gioi
327,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
328,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
329,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
330,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
331,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-le-si
332,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
333,,
334,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
335,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
336,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
337,xay-dung,xay-dung-ky-su
338,khach-san-nha-hang-du-lich,khach-san-khach-san
339,khach-san-nha-hang-du-lich,khach-san-spa-lam-dep
340,,
341,marketing-truyen-thong,marketing-truyen-thong-pr
342,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
343,van-tai-logistics,van-tai-logistics-kho-van
344,xay-dung,xay-dung-ky-su
345,van-tai-logistics,van-tai-xuat-nhap-khau
346,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
347,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
348,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
349,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
350,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
351,giao-duc-dao-tao,giao-duc-giang-day
352,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
353,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
354,cntt,cntt-phat-trien-phan-mem
355,marketing-truyen-thong,marketing-truyen-thong-pr
356,co-khi-che-tao,co-khi-tu-dong-hoa
357,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
358,,
359,khach-san-nha-hang-du-lich,khach-san-spa-lam-dep
360,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
361,bat-dong-san,bat-dong-san-moi-gioi
362,,
363,cntt,cntt-phan-cung-mang
364,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
365,thiet-ke-kien-truc,thiet-ke-do-hoa
366,cntt,cntt-phat-trien-phan-mem
367,y-te-duoc,y-te-duoc-y-te
368,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
369,cntt,cntt-phat-trien-phan-mem
370,cntt,cntt-phat-trien-phan-mem
371,dien-dien-tu-vien-thong,dien-dien-tu-dien-lanh
372,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
373,,
374,y-te-duoc,y-te-duoc-y-te
375,,
376,van-tai-logistics,van-tai-logistics-kho-van
377,dien-dien-tu-vien-thong,dien-dien-tu-dien-lanh
378,thiet-ke-kien-truc,thiet-ke-do-hoa
379,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
380,marketing-truyen-thong,marketing-truyen-thong-pr
381,cntt,cntt-phat-trien-phan-mem
382,san-xuat-qa-qc,san-xuat-quan-ly
383,cntt,cntt-phat-trien-phan-mem
384,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
385,cntt,cntt-phat-trien-phan-mem
386,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
387,nhan-su-hanh-chinh,nhan-su-phap-ly-phap-che
388,nhan-su-hanh-chinh,nhan-su-phap-ly-phap-che
389,marketing-truyen-thong,marketing-truyen-thong-pr
390,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
391,marketing-truyen-thong,marketing-truyen-thong-pr
392,san-xuat-qa-qc,san-xuat-thuc-pham
393,marketing-truyen-thong,marketing-truyen-thong-pr
394,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
395,marketing-truyen-thong,marketing-bao-chi-truyen-hinh
396,,
397,san-xuat-qa-qc,san-xuat-quan-ly
398,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
399,co-khi-che-tao,co-khi-tu-dong-hoa
400,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
401,dich-vu-khach-hang,dich-vu-khach-hang-cskh
402,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
403,marketing-truyen-thong,marketing-truyen-thong-pr
404,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
405,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
406,giao-duc-dao-tao,giao-duc-giang-day
407,cntt,cntt-phat-trien-phan-mem
408,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
409,bat-dong-san,bat-dong-san-moi-gioi
410,bat-dong-san,bat-dong-san-moi-gioi
411,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
412,dich-vu-khach-hang,dich-vu-khach-hang-cskh
413,marketing-truyen-thong,marketing-truyen-thong-pr
414,marketing-truyen-thong,marketing-bien-phien-dich
415,dich-vu-khach-hang,dich-vu-khach-hang-cskh
416,nhan-su-hanh-chinh,nhan-su-thu-ky-tro-ly
417,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
418,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
419,khach-san-nha-hang-du-lich,khach-san-khach-san
420,dich-vu-khach-hang,dich-vu-khach-hang-cskh
421,,
422,cntt,cntt-phat-trien-phan-mem
423,cntt,cntt-phan-cung-mang
424,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
425,van-tai-logistics,van-tai-logistics-kho-van
426,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
427,,
428,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
429,co-khi-che-tao,co-khi-tu-dong-hoa
430,,
431,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
432,cntt,cntt-phat-trien-phan-mem
433,cntt,cntt-phat-trien-phan-mem
434,dien-dien-tu-vien-thong,dien-dien-tu-dien-lanh
435,,
436,giao-duc-dao-tao,giao-duc-giang-day
437,cntt,cntt-phat-trien-phan-mem
438,dich-vu-khach-hang,dich-vu-khach-hang-cskh
439,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
440,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
441,bat-dong-san,bat-dong-san-moi-gioi
442,cntt,cntt-phat-trien-phan-mem
443,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
444,dich-vu-khach-hang,dich-vu-khach-hang-cskh
445,van-tai-logistics,van-tai-logistics-kho-van
446,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
447,cntt,cntt-phat-trien-phan-mem
448,san-xuat-qa-qc,san-xuat-det-may
449,,
450,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
451,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
452,,
453,khach-san-nha-hang-du-lich,khach-san-khach-san
454,giao-duc-dao-tao,giao-duc-giang-day
455,,
456,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
457,giao-duc-dao-tao,giao-duc-giang-day
458,marketing-truyen-thong,marketing-truyen-thong-pr
459,,
460,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
461,van-tai-logistics,van-tai-logistics-kho-van
462,dich-vu-khach-hang,dich-vu-khach-hang-cskh
463,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
464,co-khi-che-tao,co-khi-tu-dong-hoa
465,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-le-si
466,cntt,cntt-phat-trien-phan-mem
467,,
468,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
469,,
470,,
471,xay-dung,xay-dung-ky-su
472,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
473,y-te-duoc,y-te-duoc-duoc-pham
474,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
475,marketing-truyen-thong,marketing-truyen-thong-pr
476,marketing-truyen-thong,marketing-truyen-thong-pr
477,,
478,y-te-duoc,y-te-duoc-y-te
479,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
480,dich-vu-khach-hang,dich-vu-khach-hang-cskh
481,dich-vu-khach-hang,dich-vu-khach-hang-cskh
482,y-te-duoc,y-te-duoc-duoc-pham
483,dien-dien-tu-vien-thong,dien-dien-tu-vien-thong-vt
484,khach-san-nha-hang-du-lich,khach-san-du-lich-le-hanh
485,marketing-truyen-thong,marketing-truyen-thong-pr
486,cntt,cntt-phat-trien-phan-mem
487,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
488,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
489,khach-san-nha-hang-du-lich,khach-san-du-lich-le-hanh
490,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
491,cntt,cntt-phat-trien-phan-mem
492,cntt,cntt-phat-trien-phan-mem
493,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
494,xay-dung,xay-dung-ky-su
495,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
496,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
497,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
498,marketing-truyen-thong,marketing-truyen-thong-pr
499,giao-duc-dao-tao,giao-duc-giang-day
500,dien-dien-tu-vien-thong,dien-dien-tu-vien-thong-vt
501,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
502,khach-san-nha-hang-du-lich,khach-san-khach-san
503,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
504,marketing-truyen-thong,marketing-truyen-thong-pr
505,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
506,cntt,cntt-phat-trien-phan-mem
507,khach-san-nha-hang-du-lich,khach-san-khach-san
